id,case_number,date,block,iucr,crime_type,description,location_description,arrest,domestic,beat,district,ward,community_area,fbi_code,x_coordinate,y_coordinate,year,updated_on,latitude,longitude,location,city,data_source,fetch_date
14064936,JJ533661,2025-12-24 00:00:00,009XX E 132ND PL,0560,ASSAULT,SIMPLE,RESIDENCE,False,True,0533,005,10,54,08A,1185392,1817834,2025,2025-12-31T15:41:59.000,41.655276697,-87.597292828,"{'latitude': '41.655276697', 'longitude': '-87.597292828', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Chicago,data.cityofchicago.org/ijzp-q8t2,2026-01-23 02:12:43.158369
14065142,JJ533996,2025-12-24 00:00:00,031XX S KEDVALE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,True,True,1031,010,22,30,08B,1149212,1883503,2025,2025-12-31T15:41:59.000,41.836255581,-87.727988288,"{'latitude': '41.836255581', 'longitude': '-87.727988288', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Chicago,data.cityofchicago.org/ijzp-q8t2,2026-01-23 02:12:43.158369
14067400,JJ536437,2025-12-24 00:00:00,0000X E GRAND AVE,0266,CRIMINAL SEXUAL ASSAULT,PREDATORY,HOTEL / MOTEL,False,False,1834,018,42,8,02,1176416,1903908,2025,2025-12-31T15:41:59.000,41.891678767,-87.627551654,"{'latitude': '41.891678767', 'longitude': '-87.627551654', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Chicago,data.cityofchicago.org/ijzp-q8t2,2026-01-23 02:12:43.158369
14064368,JJ533044,2025-12-24 00:02:00,003XX E SUPERIOR ST,0454,BATTERY,"AGGRAVATED P.O. - HANDS, FISTS, FEET, NO / MINOR INJURY",STREET,False,False,1833,018,2,8,08B,1178551,1905432,2025,2026-01-01T15:46:55.000,41.895812236,-87.619664319,"{'latitude': '41.895812236', 'longitude': '-87.619664319', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Chicago,data.cityofchicago.org/ijzp-q8t2,2026-01-23 02:12:43.158369
14064415,JJ533062,2025-12-24 00:10:00,047XX S VINCENNES AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,0223,002,3,38,08B,1180398,1873712,2025,2026-01-01T15:46:55.000,41.808728227,-87.613856907,"{'latitude': '41.808728227', 'longitude': '-87.613856907', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Chicago,data.cityofchicago.org/ijzp-q8t2,2026-01-23 02:12:43.158369
14065660,JJ534605,2025-12-24 00:25:00,0000X W HUBBARD ST,031A,ROBBERY,ARMED - HANDGUN,STREET,False,False,1831,018,42,8,03,1176050,1903312,2025,2026-01-01T15:46:55.000,41.890051565,-87.62891376,"{'latitude': '41.890051565', 'longitude': '-87.62891376', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Chicago,data.cityofchicago.org/ijzp-q8t2,2026-01-23 02:12:43.158369
14064416,JJ533049,2025-12-24 00:26:00,006XX W DIVERSEY PKWY,0460,BATTERY,SIMPLE,STREET,False,False,1934,019,44,6,08B,1171230,1918843,2025,2026-01-01T15:46:55.000,41.932776671,-87.646157857,"{'latitude': '41.932776671', 'longitude': '-87.646157857', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Chicago,data.cityofchicago.org/ijzp-q8t2,2026-01-23 02:12:43.158369
14064369,JJ533046,2025-12-24 00:30:00,023XX N MILWAUKEE AVE,0460,BATTERY,SIMPLE,BAR OR TAVERN,False,False,1414,014,1,22,08B,1156742,1915611,2025,2026-01-01T15:46:55.000,41.924214127,-87.699487638,"{'latitude': '41.924214127', 'longitude': '-87.699487638', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Chicago,data.cityofchicago.org/ijzp-q8t2,2026-01-23 02:12:43.158369
14064427,JJ533055,2025-12-24 00:30:00,061XX S ARCHER AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,PARKING LOT / GARAGE (NON RESIDENTIAL),False,True,0811,008,23,56,08B,1136764,1867992,2025,2026-01-01T15:46:55.000,41.793922473,-87.774035764,"{'latitude': '41.793922473', 'longitude': '-87.774035764', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Chicago,data.cityofchicago.org/ijzp-q8t2,2026-01-23 02:12:43.158369
28988,JJ533043,2025-12-24 00:40:00,070XX S HALSTED ST,0110,HOMICIDE,FIRST DEGREE MURDER,PARKING LOT,False,False,0732,007,6,68,01A,1172186,1858083,2025,2026-01-01T15:46:55.000,41.766025213,-87.644435915,"{'latitude': '41.766025213', 'longitude': '-87.644435915', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Chicago,data.cityofchicago.org/ijzp-q8t2,2026-01-23 02:12:43.158369
14064452,JJ533060,2025-12-24 00:43:00,083XX S DR MARTIN LUTHER KING JR DR,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,0632,006,6,44,08B,1180365,1849834,2025,2026-01-01T15:46:55.000,41.743205383,-87.614709784,"{'latitude': '41.743205383', 'longitude': '-87.614709784', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Chicago,data.cityofchicago.org/ijzp-q8t2,2026-01-23 02:12:43.158369
14064505,JJ533097,2025-12-24 00:51:00,034XX W BELLE PLAINE AVE,0453,BATTERY,AGGRAVATED POLICE OFFICER - OTHER DANGEROUS WEAPON,STREET,True,False,1723,017,33,16,04B,1152531,1927037,2025,2026-01-01T15:46:55.000,41.955652322,-87.714657655,"{'latitude': '41.955652322', 'longitude': '-87.714657655', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Chicago,data.cityofchicago.org/ijzp-q8t2,2026-01-23 02:12:43.158369
14064395,JJ533067,2025-12-24 00:57:00,019XX S ST LOUIS AVE,0560,ASSAULT,SIMPLE,STREET,True,True,1024,010,24,29,08A,1153407,1890172,2025,2026-01-01T15:46:55.000,41.854473966,-87.71241824,"{'latitude': '41.854473966', 'longitude': '-87.71241824', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Chicago,data.cityofchicago.org/ijzp-q8t2,2026-01-23 02:12:43.158369
14064449,JJ533075,2025-12-24 01:05:00,002XX E ONTARIO ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,HOTEL / MOTEL,False,True,1834,018,2,8,08B,1178002,1904540,2025,2026-01-01T15:46:55.000,41.893377059,-87.621707822,"{'latitude': '41.893377059', 'longitude': '-87.621707822', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Chicago,data.cityofchicago.org/ijzp-q8t2,2026-01-23 02:12:43.158369
14064414,JJ533088,2025-12-24 01:56:00,117XX S INDIANA AVE,051A,ASSAULT,AGGRAVATED - HANDGUN,STREET,False,False,0532,005,9,53,04A,1179678,1827224,2025,2026-01-01T15:46:55.000,41.681176281,-87.617915293,"{'latitude': '41.681176281', 'longitude': '-87.617915293', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Chicago,data.cityofchicago.org/ijzp-q8t2,2026-01-23 02:12:43.158369
14064456,JJ533095,2025-12-24 02:00:00,040XX W HARRISON ST,0261,CRIMINAL SEXUAL ASSAULT,AGGRAVATED - HANDGUN,STREET,False,False,1132,011,24,26,02,1149485,1897053,2025,2026-01-01T15:46:55.000,41.873433175,-87.726635233,"{'latitude': '41.873433175', 'longitude': '-87.726635233', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Chicago,data.cityofchicago.org/ijzp-q8t2,2026-01-23 02:12:43.158369
